st,stf
AR,5
TX,48
AR,5
TX,48
MO,29
TX,48
TN,47
TX,48
MS,28
AL,1
TN,47
TX,48
IN,18
OH,39
PA,42
VT,50
TN,47
TN,47
TX,48
GA,13
GA,13
GA,13
GA,13
FL,12
GA,13
IA,19
LA,22
IA,19
AR,5
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
SC,45
CA,6
FL,12
OK,40
OK,40
OK,40
OK,40
TX,48
TX,48
TX,48
CO,8
KS,20
MS,28
MS,28
TX,48
GA,13
GA,13
WI,55
CA,6
WI,55
WI,55
IL,17
TX,48
WI,55
SD,46
SD,46
SD,46
SD,46
SD,46
SD,46
SD,46
IA,19
SD,46
SD,46
MN,27
IA,19
AR,5
AL,1
MS,28
MO,29
MO,29
MO,29
AR,5
MO,29
OK,40
MO,29
OK,40
TX,48
IL,17
OK,40
OK,40
IA,19
MO,29
MO,29
IA,19
MO,29
MO,29
IL,17
MO,29
TN,47
TN,47
AL,1
KY,21
OK,40
MO,29
OK,40
OK,40
OK,40
OK,40
KS,20
KS,20
KS,20
KS,20
KS,20
MN,27
KS,20
OK,40
OK,40
NE,31
IL,17
NE,31
NE,31
WI,55
NC,37
TX,48
IA,19
KS,20
TX,48
TX,48
TX,48
TX,48
GA,13
OK,40
CO,8
TX,48
TX,48
TX,48
AR,5
AR,5
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
KS,20
OK,40
OK,40
TX,48
TX,48
KS,20
TN,47
CO,8
TN,47
CO,8
CO,8
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
NM,35
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
TX,48
AR,5
GA,13
GA,13
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
LA,22
GA,13
GA,13
OK,40
TX,48
OK,40
OK,40
TX,48
OK,40
OK,40
KS,20
OK,40
OK,40
OK,40
OK,40
OK,40
TX,48
OK,40
TX,48
KS,20
TX,48
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
OK,40
MO,29
TX,48
MO,29
IL,17
KS,20
IL,17
IL,17
IL,17
AR,5
NE,31
AR,5
NE,31
KS,20
MO,29
KS,20
KS,20
MO,29
MO,29
MO,29
AR,5
KS,20
MO,29
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
MO,29
OK,40
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
OK,40
OK,40
OK,40
OK,40
MI,26
MI,26
IN,18
WI,55
WI,55
MI,26
NC,37
FL,12
TX,48
OK,40
UT,49
TX,48
FL,12
OK,40
OK,40
KS,20
TX,48
OK,40
NE,31
NE,31
KS,20
KS,20
ND,38
TX,48
KS,20
TX,48
OK,40
KS,20
OK,40
KS,20
CO,8
KS,20
KS,20
KS,20
KS,20
KS,20
TX,48
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
NE,31
OK,40
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
OK,40
NE,31
OK,40
KS,20
KS,20
KS,20
MI,26
TX,48
TX,48
TX,48
TX,48
MI,26
MI,26
OK,40
TX,48
TX,48
AR,5
SC,45
VA,51
NC,37
IN,18
KS,20
KS,20
AZ,4
OK,40
OK,40
TX,48
UT,49
UT,49
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
OK,40
TX,48
TX,48
NE,31
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
KS,20
OK,40
OK,40
TX,48
OK,40
OK,40
OK,40
OK,40
MN,27
CO,8
OK,40
OK,40
TX,48
TX,48
OK,40
TX,48
TX,48
TX,48
MI,26
TX,48
CO,8
CO,8
CO,8
TX,48
TX,48
KS,20
MS,28
TX,48
OK,40
SC,45
NC,37
CO,8
WY,56
WY,56
NE,31
WY,56
LA,22
NE,31
CO,8
CO,8
NE,31
SD,46
ND,38
ND,38
MN,27
ND,38
MN,27
KS,20
KS,20
KS,20
KS,20
SD,46
PA,42
ND,38
SD,46
ND,38
MN,27
CO,8
MN,27
OK,40
NE,31
MO,29
MA,25
ND,38
MT,30
MI,26
MT,30
ND,38
MT,30
MN,27
MN,27
NE,31
IN,18
CO,8
NE,31
NE,31
NE,31
CO,8
CO,8
NE,31
NE,31
